videoId,second,numViews
i4x-Engineering-CS145-video-vid-introduction_to_sql,0,2
i4x-Engineering-CS145-video-vid-introduction_to_sql,1,2
i4x-Engineering-CS145-video-vid-introduction_to_sql,2,1
i4x-Engineering-CS145-video-vid-introduction_to_sql,3,1
i4x-Engineering-CS145-video-vid-introduction_to_sql,4,1
i4x-Engineering-CS145-video-vid-introduction_to_sql,5,1
i4x-Engineering-CS145-video-vid-introduction_to_sql,6,1
i4x-Engineering-CS145-video-vid-introduction_to_sql,7,1
i4x-Engineering-CS145-video-vid-introduction_to_sql,8,1
i4x-Engineering-CS145-video-vid-introduction_to_sql,9,1
i4x-Engineering-CS145-video-vid-introduction_to_sql,10,1
i4x-Engineering-CS145-video-vid-introduction_to_sql,11,1
i4x-Engineering-CS145-video-vid-introduction_to_sql,12,1
i4x-Engineering-CS145-video-vid-introduction_to_sql,13,1
i4x-Engineering-CS145-video-vid-introduction_to_sql,14,1
i4x-Engineering-CS145-video-vid-introduction_to_sql,15,1
